urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:relative,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:rainfall,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:wind:velocity,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:radiation
2015-04-03T06:00:00.000000+0100,94.800000,0.000000,0.000000,6.000000,41.000000
2015-04-03T07:00:00.000000+0100,95.400000,0.000000,0.000000,6.000000,77.000000
2015-04-03T08:00:00.000000+0100,95.400000,0.000000,0.000000,6.000000,136.000000
2015-04-03T09:00:00.000000+0100,95.300000,0.000000,0.000000,7.000000,234.000000
2015-04-03T10:00:00.000000+0100,95.500000,0.000000,0.000000,7.000000,263.000000
2015-04-03T11:00:00.000000+0100,95.700000,1.100000,0.000000,7.000000,286.000000
2015-04-03T12:00:00.000000+0100,95.400000,0.100000,0.000000,7.000000,314.000000
2015-04-03T13:00:00.000000+0100,95.200000,0.100000,0.000000,7.000000,283.000000
2015-04-03T14:00:00.000000+0100,95.900000,0.100000,0.000000,6.000000,204.000000
2015-04-03T15:00:00.000000+0100,95.900000,0.200000,0.000000,6.000000,128.000000
2015-04-03T16:00:00.000000+0100,96.100000,0.100000,0.000000,5.000000,53.000000
2015-04-03T17:00:00.000000+0100,97.200000,0.000000,0.000000,5.000000,19.000000
2015-04-03T18:00:00.000000+0100,97.700000,0.000000,0.000000,6.000000,0.000000
2015-04-03T19:00:00.000000+0100,97.800000,0.000000,0.000000,6.000000,0.000000
2015-04-03T20:00:00.000000+0100,97.800000,0.000000,0.000000,6.000000,0.000000
2015-04-03T21:00:00.000000+0100,97.800000,0.000000,0.000000,5.000000,0.000000
2015-04-03T22:00:00.000000+0100,97.900000,0.000000,0.000000,5.000000,0.000000
2015-04-03T23:00:00.000000+0100,98.000000,0.000000,0.000000,5.000000,0.000000
2015-04-04T00:00:00.000000+0100,98.100000,0.000000,0.000000,5.000000,0.000000
2015-04-04T01:00:00.000000+0100,98.200000,0.000000,0.000000,4.000000,0.000000
2015-04-04T02:00:00.000000+0100,98.300000,0.000000,0.000000,4.000000,0.000000
2015-04-04T03:00:00.000000+0100,98.400000,0.000000,0.000000,3.000000,0.000000
2015-04-04T04:00:00.000000+0100,98.400000,0.000000,0.000000,3.000000,0.000000
2015-04-04T05:00:00.000000+0100,98.500000,0.000000,0.000000,3.000000,4.000000
2015-04-04T06:00:00.000000+0100,98.400000,0.600000,0.000000,3.000000,49.000000
2015-04-04T07:00:00.000000+0100,98.300000,1.500000,0.000000,3.000000,114.000000
2015-04-04T08:00:00.000000+0100,98.200000,1.500000,0.000000,3.000000,175.000000
2015-04-04T09:00:00.000000+0100,97.700000,0.600000,0.000000,3.000000,209.000000
2015-04-04T10:00:00.000000+0100,95.800000,0.200000,0.000000,3.000000,201.000000
2015-04-04T11:00:00.000000+0100,93.500000,0.200000,1.000000,2.000000,202.000000
2015-04-04T12:00:00.000000+0100,91.700000,0.000000,1.000000,2.000000,219.000000
